from ,to,seats,tipo
ATH,DBV,2784,EU
ATH,HAJ,1392,EU
ATH,HBE,1170,extra_EU
ATH,LED,1566,EU
AMS,ATH,6003,EU
ATH,AMS,6003,EU
ATH,BSL,1392,EU
ATH,CTA,1458,EU
ATH,HAM,4176,EU
ATH,MLA,1710,EU
BSL,ATH,1392,EU
CDG,KLX,1566,EU
CTA,ATH,1458,EU
DUS,HER,2262,EU
DUS,SKG,5220,EU
FRA,SKG,6030,EU
HAM,ATH,4176,EU
HER,DUS,2262,EU
HER,MRS,2088,EU
KLX,CDG,1566,EU
MLA,ATH,1710,EU
MRS,HER,2088,EU
SKG,DUS,5220,EU
SKG,FRA,6030,EU
SKG,STR,4524,EU
ATH,MRS,3828,EU
ATH,NAP,2784,EU
ATH,NCE,3654,EU
ATH,TBS,3132,EU
ATH,TXL,5220,EU
CDG,SKG,1392,EU
DBV,ATH,2784,EU
DUS,KLX,696,EU
HAJ,ATH,1392,EU
HBE,ATH,1092,extra_EU
KLX,DUS,696,EU
LED,ATH,1392,EU
MRS,ATH,3828,EU
NAP,ATH,2784,EU
NCE,ATH,3654,EU
SKG,CDG,1392,EU
TBS,ATH,3132,EU
TXL,ATH,5220,EU
ARN,KLX,870,EU
ATH,DME,6090,EU
ATH,IST,14160,EU
ATH,LUX,1392,EU
ATH,VLC,1566,EU
CDG,RHO,2262,EU
DME,ATH,6090,EU
IST,ATH,14160,EU
KLX,ARN,870,EU
KLX,MUC,1566,EU
LUX,ATH,1392,EU
MUC,KLX,1566,EU
RHO,CDG,2262,EU
RHO,TLV,1566,extra_EU
RHO,ZRH,1566,EU
TLV,RHO,1566,extra_EU
STR,SKG,4524,EU
ATH,JED,2436,extra_EU
ATH,RAK,1566,extra_EU
ATH,SPU,1248,EU
ATH,SUF,78,EU
ATH,TGD,624,EU
ATH,TLL,1392,EU
ATH,VCE,3654,EU
ATH,ZAG,1014,EU
BOD,HER,1392,EU
HAJ,SKG,1566,EU
HER,BOD,1392,EU
ADB,ATH,1248,EU
AGP,ATH,1566,EU
ATH,ADB,1326,EU
ATH,AGP,1566,EU
ATH,BRI,780,EU
ATH,CAI,11235,extra_EU
ATH,CPH,4524,EU
ATH,DUB,2610,EU
ATH,DUS,5247,EU
ATH,GVA,5247,EU
ATH,IBZ,666,EU
ATH,KRK,1566,EU
ATH,LYS,2958,EU
ATH,OPO,1566,EU
ATH,OTP,8148,EU
ATH,SJJ,468,EU
BRI,ATH,780,EU
CAI,ATH,11235,extra_EU
CPH,ATH,4524,EU
DME,SKG,2958,EU
DOL,HER,696,EU
DUB,ATH,2610,EU
DUS,ATH,5247,EU
ETZ,HER,696,EU
GVA,ATH,5247,EU
HER,DOL,696,EU
AMM,ATH,3348,extra_EU
ATH,AMM,3492,extra_EU
ATH,BEY,6612,extra_EU
ATH,BLQ,2088,EU
ATH,BOD,2088,EU
VLC,ATH,1392,EU
ZRH,RHO,1566,EU
ARN,ATH,2262,EU
HER,ETZ,696,EU
IBZ,ATH,666,EU
KRK,ATH,1566,EU
LYS,ATH,2958,EU
MUC,RHO,2088,EU
OPO,ATH,1566,EU
OTP,ATH,8148,EU
RHO,MUC,2088,EU
SJJ,ATH,468,EU
SKG,DME,2958,EU
SKG,TLV,3132,extra_EU
TLV,SKG,3132,extra_EU
ATH,CDG,19134,EU
ATH,HEL,1740,EU
ATH,MUC,8118,EU
ATH,RUH,2262,extra_EU
ATH,SKP,1014,EU
ATH,TIA,6324,EU
ATH,TLS,2294,EU
ATH,TUN,870,extra_EU
ATH,VIE,6612,EU
CDG,ATH,19134,EU
CDG,HER,5220,EU
DME,KLX,1566,EU
FRA,RHO,2262,EU
HEL,ATH,1740,EU
HER,CDG,5220,EU
HER,LYS,2262,EU
HER,STR,1566,EU
KLX,DME,1566,EU
HER,NTE,2088,EU
JED,ATH,2262,extra_EU
MRS,RHO,696,EU
NTE,HER,2088,EU
RAK,ATH,1566,extra_EU
RHO,MRS,696,EU
SKG,HAJ,1392,EU
SPU,ATH,1248,EU
SUF,ATH,78,EU
TGD,ATH,624,EU
TLL,ATH,1566,EU
VCE,ATH,3654,EU
ZAG,ATH,1014,EU
ATH,BRU,10872,EU
ATH,EDI,1392,EU
ATH,EVN,2784,EU
ATH,FRA,6030,EU
ATH,LHR,18933,EU
ATH,MXP,10926,EU
ATH,NTE,2262,EU
ATH,PMO,1242,EU
ATH,PRG,5247,EU
ATH,SOF,5916,EU
ATH,STR,2958,EU
ATH,TLV,12978,extra_EU
ATH,WAW,5220,EU
ATH,ZRH,6894,EU
BEY,ATH,6612,extra_EU
BLQ,ATH,2088,EU
BOD,ATH,2088,EU
BRU,ATH,10872,EU
EDI,ATH,1392,EU
EVN,ATH,2784,EU
FRA,ATH,6030,EU
FRA,HER,2436,EU
HER,FRA,2436,EU
HER,TLV,2610,extra_EU
HER,ZRH,2436,EU
LCA,TLV,6612,extra_EU
LHR,ATH,18933,EU
LYS,RHO,870,EU
MXP,ATH,10926,EU
ATH,ARN,2262,EU
ATH,BCN,8814,EU
ATH,BEG,3480,EU
ATH,BUD,3132,EU
ATH,CMN,696,extra_EU
ATH,FCO,12060,EU
ATH,KBP,1392,EU
ATH,LIL,696,EU
ATH,LIS,6105,EU
ATH,MAD,9258,EU
ATH,MAN,1914,EU
ATH,PSA,1218,EU
ATH,VRN,522,EU
BCN,ATH,8613,EU
BEG,ATH,3480,EU
BES,HER,870,EU
BUD,ATH,3132,EU
CMN,ATH,696,extra_EU
FCO,ATH,12060,EU
HER,BES,870,EU
HER,MUC,3132,EU
HER,TLS,1566,EU
KBP,ATH,1566,EU
LIL,ATH,696,EU
LIS,ATH,6105,EU
MAD,ATH,9258,EU
MAN,ATH,1914,EU
MUC,HER,3132,EU
MUC,SKG,10440,EU
LED,SKG,1566,EU
LYS,HER,2262,EU
MUC,ATH,8118,EU
NUE,SKG,1566,EU
RHO,FRA,2262,EU
RUH,ATH,2088,extra_EU
SKG,LED,1566,EU
SKG,NUE,1566,EU
SKP,ATH,1014,EU
STR,HER,1566,EU
TIA,ATH,6324,EU
TLS,ATH,2294,EU
TUN,ATH,870,extra_EU
VIE,ATH,6612,EU
NTE,ATH,2262,EU
PMO,ATH,1242,EU
PRG,ATH,5247,EU
RHO,LYS,870,EU
SOF,ATH,5916,EU
STR,ATH,2958,EU
TLV,ATH,12978,extra_EU
TLV,HER,2610,extra_EU
TLV,LCA,6612,extra_EU
WAW,ATH,5220,EU
ZRH,ATH,6894,EU
ZRH,HER,2436,EU
PSA,ATH,1218,EU
SKG,MUC,10440,EU
TLS,HER,1566,EU
VRN,ATH,522,EU
